Temp,OL,Time,Ammonia,pH,sCOD,TS,VS,Coliforms,Ecoli,Enterococci,Methane,RFW,DCS,FOG
37,3.5,9,1710,7.29,7302.29,5.48,3.72,3.5,3.29,5.08,188.3,0,0.33,0.67
37,0.5,9,1640,7.45,8011.25,5.13,3.22,4.55,4.45,4.66,94.6,0,0.33,0.67
37,3.5,9,1510,7.42,7940.36,5.35,3.4,4.24,4.24,6.3,167.6,0.75,0.25,0
19,2,9,1645,7.17,11130.68,5.68,3.52,5.1,4.05,6.18,26.1,0.75,0.25,0
55,2,9,1790,7.49,12477.7,5.79,3.54,1,1,2,14.1,0.75,0.25,0
55,2,9,1650,7.47,11296.1,5.9,3.57,2,1,2.98,18.8,0.75,0.25,0
37,0.5,9,1555,7.45,7609.51,5.2,3.22,3.87,3.74,5.32,60.9,0.75,0.25,0
37,3.5,9,1585,7.4,7869.46,4.84,3.23,2.99,2.8,6.15,152.9,0.75,0.25,0
37,3.5,9,1475,7.34,7940.36,5.07,3.31,4.5,4.48,6.15,147.3,0.75,0.25,0
19,2,9,1755,7.19,11957.8,5.62,3.48,5.18,4.36,6.11,27,0.75,0.25,0
55,2,9,1435,7.46,12595.86,5.85,3.56,1,1,2.3,14,0.75,0.25,0
19,2,9,1550,7.15,10327.19,5.72,3.56,5.25,4.61,5.89,29.1,0.75,0.25,0
37,0.5,9,1370,7.53,7609.51,5.05,3.19,3.23,2.93,6.48,69.7,0.75,0.25,0
19,2,9,1510,7.16,10563.51,5.68,3.52,5.54,4.5,5.86,30.2,0.75,0.25,0
37,3.5,9,1625,7.37,8247.57,5.33,3.45,4.41,4.33,6.05,158.6,0.75,0.25,0
55,2,9,1455,7.44,12406.81,5.48,3.36,1,1,2,14.8,0.75,0.25,0
37,0.5,9,1690,7.44,7467.72,5.24,3.2,1,1,5.01,73.6,0.75,0.25,0
37,0.5,9,1370,7.5,8271.21,5.13,3.25,3.94,3.94,4.97,69.1,0.75,0.25,0
55,2,9,1715,7.46,12335.91,5.66,3.43,1,1,2.72,21.2,0.25,0.75,0
37,3.5,9,1675,7.46,7704.04,5.42,3.5,5.11,5.05,6.96,177.3,0.25,0.75,0
37,0.5,9,1800,7.44,7963.99,5.16,3.17,3.3,3.3,5.89,78.3,0.25,0.75,0
55,2,9,1525,7.44,12335.91,5.72,3.44,1,1,2.49,19.5,0.25,0.75,0
19,2,9,1730,7.06,11367,5.63,3.47,6.17,5.75,7.32,32.4,0.25,0.75,0
37,0.5,9,1430,7.46,7798.56,5.04,3.19,1,1,3.8,85.6,0.25,0.75,0
37,3.5,9,1360,7.39,8720.21,5.47,3.48,4.68,4.98,7.17,153.2,0.25,0.75,0
19,2,9,1630,7.08,11272.47,5.74,3.57,6.1,5.39,6.12,26.7,0.25,0.75,0
37,0.5,9,1640,7.48,7113.24,5.09,3.12,3.23,2.98,5.69,74.7,0.25,0.75,0
19,2,9,1470,7.06,11343.37,5.72,3.52,5.49,4.93,6.19,23.3,0.25,0.75,0
55,2,9,1345,7.43,12595.86,5.67,3.41,1,1,1,17.4,0.25,0.75,0
19,2,9,1685,7.08,10468.98,5.7,3.56,6.12,5.42,7.32,29.3,0.25,0.75,0
37,0.5,9,1045,7.66,7704.04,5.41,3.29,5.21,4.57,5.32,67.2,0.25,0.75,0
55,2,9,1765,7.43,13115.77,5.65,3.42,1,1,2.3,27.9,0.25,0.75,0
37,3.5,9,1255,7.45,7609.51,5.36,3.41,5.1,5.02,6.3,157.9,0.25,0.75,0
37,3.5,9,1400,7.44,8791.11,5.23,3.43,3.96,3.75,4.87,157,0.25,0.75,0
