Temp,OL,Time,Recipe,Ammonia,pH,sCOD,TS,VS,Coliforms,Ecoli,Enterococci,Methane
19,0.5,6,FWS31,1425,7.42,10486.86,5.18,3.44,727000,27900,387300,8.0
55,2.0,3,FWS12,1660,7.89,9893.81,6.18,3.88,0,0,850,21.2
37,3.5,3,FWS12,1590,7.14,9781.63,6.44,4.40,1413600,1413600,104620,17.4
37,2.0,6,FWS13,1350,7.44,8050.69,5.49,3.21,35500,31800,1299700,19.5
55,0.5,6,FWS13,1635,7.73,9551.80,5.57,3.27,0,0,0,27.9
55,2.0,3,FWS31,1720,7.17,13775.05,5.90,3.63,0,0,2430,14.0
37,2.0,6,FWS31,1465,7.45,8140.82,5.45,3.37,152480,141480,759000,11.6
37,2.0,6,FWS31,1605,7.39,8533.06,5.56,3.36,292000,187000,228000,17.3
37,0.5,9,FWS12,1620,7.46,7444.08,5.23,3.22,0,0,34500,13.0
37,0.5,3,FWS12,865,7.53,9437.63,4.87,3.20,1660,1550,86640,14.1
19,2.0,9,FWS13,1510,7.16,10563.51,5.68,3.52,343000,31300,727000,18.8
55,2.0,9,FWS12,1595,7.40,12973.98,5.90,3.73,0,0,0,14.8
19,2.0,3,FWS31,1740,7.01,12354.17,5.61,3.51,173290,129970,3010000,14.0
55,2.0,9,FWS13,1435,7.46,12595.86,5.85,3.56,0,0,200,14.4
37,0.5,9,FWS31,1045,7.66,7704.04,5.41,3.29,163865,36970,209800,16.0
19,2.0,9,FWS12,1320,7.31,9665.49,6.03,3.91,17500,12200,69500,18.5
19,2.0,9,FWS31,1470,7.06,11343.37,5.72,3.52,309400,84200,1553100,25.3
37,3.5,9,FWS12,1710,7.29,7302.29,5.48,3.72,3180,1970,121100,4.4
37,2.0,6,FWS13,1550,7.43,8614.61,5.57,3.42,35900,29200,5475000,5.6
55,3.5,6,FWS13,1490,7.25,13482.12,6.09,3.75,0,0,300,7.6
19,2.0,3,FWS12,1665,7.55,10394.85,6.06,3.97,23385,21325,145000,8.9
37,2.0,6,FWS31,1550,7.38,8710.68,5.63,3.50,125980,125980,657000,15.3
37,2.0,6,FWS13,1535,7.43,7763.19,5.46,3.37,90600,90600,712000,12.1
37,3.5,9,FWS31,1255,7.45,7609.51,5.36,3.41,125980,104315,1986300,26.5
55,3.5,6,FWS31,1780,7.17,8725.48,6.05,3.77,0,0,300,11.7
