"","Recipe","Temp","OL","Time","Ammonia","pH","sCOD","TS","VS","Coliforms","Ecoli","Enterococci","Methane","RFW","DCS","FOG"
"69","FWS12",19,0.5,0,1979.625,7.97,13055.25246,5.939380857,3.514360545,4.7004635776208,4.61146839047983,5.00391161073873,0,"0","0.33","0.67"
"70","FWS13",37,3.5,9,1510,7.42,7940.36,5.35,3.4,4.23807120613056,4.23807120613056,6.2984493659649,167.6,"0.75","0.25","0"
"71","FWS13",37,2,6,1430,7.47,6912.11,5.46,3.38,3.92947001617749,3.61288976928748,5.56276973156027,86.7,"0.75","0.25","0"
"72","FWS13",19,2,3,1925,7.05,12428.95,5.63,3.5,4.83841457896324,4.77924285180673,6.24049957613066,7.8,"0.75","0.25","0"
"73","FWS13",37,2,6,1420,7.44,8481.05,5.66,3.53,4.54408045258679,4.49555821254787,6.46538300017938,92.5,"0.75","0.25","0"
"74","FWS13",37,0.5,3,1830,7.41,10185.46,5.55,3.51,5.11384646042253,5.11384646042253,0,34.3,"0.75","0.25","0"
"75","FWS13",55,0.5,6,1585,7.72,10454.76,5.47,3.22,0,0,2.30319605742049,3.7,"0.75","0.25","0"
"76","FWS13",19,2,9,1645,7.17,11130.68,5.68,3.52,5.10002917961348,4.04731381581539,6.18321316811478,26.1,"0.75","0.25","0"
"77","FWS13",19,2,3,2160,7.07,11411.9,5.68,3.53,6.04693625837117,5.09668759729004,6.37379460036425,8,"0.75","0.25","0"
"78","FWS13",19,0.5,6,1370,7.48,10766.84,5.71,3.41,4.1613979525458,3.30124708863621,5.06893131725058,10.3,"0.75","0.25","0"
"79","FWS13",55,3.5,6,1720,7.21,13704.72,6.08,3.74,0,0,2.00432137378264,12.1,"0.75","0.25","0"
"80","FWS13",55,2,9,1790,7.49,12477.7,5.79,3.54,0,0,2.00432137378264,14.1,"0.75","0.25","0"
"81","FWS13",55,3.5,6,1760,7.24,14090.56,6.04,3.71,2.00432137378264,0,2.00432137378264,15.3,"0.75","0.25","0"
"82","FWS13",37,2,6,1455,7.45,8688.81,5.65,3.52,4.6127944491389,4.4456197691051,5.05880927962425,92.6,"0.75","0.25","0"
"83","FWS13",55,2,0,1978.444444,7.97,15071.64964,6.160857271,3.911447261,6.27333280495038,6.0135323357861,5.26601337049627,0,"0.75","0.25","0"
"84","FWS13",19,0.5,6,1375,7.49,9492.75,5.53,3.31,5.17609415434258,4.79519154947412,6.38374375532547,13.2,"0.75","0.25","0"
"85","FWS13",19,2,3,1840,7.06,13251.57,5.81,3.62,5.68512881675856,5.56575457696904,6.36917892224903,10.8,"0.75","0.25","0"
"86","FWS13",37,0.5,3,1870,7.49,10005.98,4.87,3.15,5.88695917206828,5.87457805921648,5.29804702904507,28.8,"0.75","0.25","0"
"87","FWS13",37,2,6,1515,7.43,8169.41,5.56,3.49,4.08282126093933,3.98681650458554,5.88654768733631,94.3,"0.75","0.25","0"
"88","FWS13",19,3.5,0,1962.25,7.97,17836.69629,6.599201626,4.443936967,6.51666065341825,6.25688989062053,5.39312663941495,0,"0.75","0.25","0"
"89","FWS13",37,0.5,3,1860,7.47,10753.81,5.76,3.48,5.15032960874648,4.84930268530855,5.38374537073358,22.9,"0.75","0.25","0"
"90","FWS13",55,2,9,1650,7.47,11296.1,5.9,3.57,2.00432137378264,0,2.98272338766855,18.8,"0.75","0.25","0"
"91","FWS13",37,2,6,1425,7.45,8837.21,5.68,3.4,4.92065021499472,4.83948433234293,5.99140374555664,89.7,"0.75","0.25","0"
"92","FWS13",37,3.5,0,1962.25,7.97,17836.69629,6.599201626,4.443936967,6.51666065341825,6.25688989062053,5.39312663941495,0,"0.75","0.25","0"
"93","FWS13",37,0.5,9,1555,7.45,7609.51,5.2,3.22,3.86811520532722,3.73727217653554,5.32180755389303,60.9,"0.75","0.25","0"
"94","FWS13",37,3.5,9,1585,7.4,7869.46,4.84,3.23,2.987219229908,2.80002935924413,6.15032684372446,152.9,"0.75","0.25","0"
"95","FWS13",55,3.5,6,1490,7.25,13482.12,6.09,3.75,0,0,2.47856649559384,11.7,"0.75","0.25","0"
